"sample_groups","rank","fsq_place_id","name","category","fsq_category_labels","locality","geography","latitude","longitude","website","score","score_components","selection_reasons","penalties","probable_chain","benchmark","tier"
"top_100_overall | top_30_culture","1","4b80a4c6f964a520218330e3","都電おもいで広場","culture","Arts and Entertainment > Museum | Landmarks and Outdoors > Plaza | Landmarks and Outdoors > Park > Playground","荒川区","tokyo_core_23_wards","35.751114","139.75235","http://www.kotsu.metro.tokyo.jp/toden/kanren/omoide.html","184","category_base:culture:48 | strong_travel_category:34 | cultural_significance:22 | nature_or_scenic_destination:20 | district_destination:28 | official_website:7 | high_category_specificity:9 | Tokyo_core:16","strong_travel_category | cultural_significance | district_destination | official_website | high_category_specificity | Tokyo_core","","false","false","A"
"top_100_overall | top_30_culture","2","5b3306103731ee002c2b3e78","チームラボプラネッツ (teamLab Planets)","culture","Arts and Entertainment > Museum > Art Museum | Arts and Entertainment > Amusement Park","江東区","tokyo_core_23_wards","35.64912152012237","139.78982716798782","https://planets.teamlab.art","174","category_base:culture:48 | strong_travel_category:34 | cultural_significance:22 | nature_or_scenic_destination:20 | entertainment_or_family_destination:18 | official_website:7 | high_category_specificity:9 | Tokyo_core:16","major_attraction | strong_travel_category | cultural_significance | official_website | high_category_specificity | Tokyo_core","","false","true","A"
"top_100_overall | top_30_culture","3","4f7fb9e3121d4ea728735977","春花園BONSAI美術館","culture","Arts and Entertainment > Museum > Art Museum | Landmarks and Outdoors > Garden | Arts and Entertainment > Art Gallery","江戸川区","tokyo_core_23_wards","35.70255783631239","139.8883283145627","http://www.kunio-kobayashi.com","156","category_base:culture:48 | strong_travel_category:34 | cultural_significance:22 | nature_or_scenic_destination:20 | official_website:7 | high_category_specificity:9 | Tokyo_core:16","strong_travel_category | cultural_significance | official_website | high_category_specificity | Tokyo_core","","false","false","A"
"top_100_overall | top_30_culture","4","5210636111d2ce6e671be072","樫尾俊雄発明記念館 / 成城四丁目 発明の杜","culture","Arts and Entertainment > Museum > Science Museum | Landmarks and Outdoors > Garden","世田谷区","tokyo_core_23_wards","35.64397062912305","139.59024667739868","http://kashiotoshio.org","156","category_base:culture:48 | strong_travel_category:34 | cultural_significance:22 | nature_or_scenic_destination:20 | official_website:7 | high_category_specificity:9 | Tokyo_core:16","strong_travel_category | cultural_significance | official_website | high_category_specificity | Tokyo_core","","false","false","A"
"top_100_overall | top_30_culture","5","6271e9c477ad8c2b7a76b984","アートアクアリウム美術館 GINZA","culture","Arts and Entertainment > Museum > Art Museum | Arts and Entertainment > Art Gallery | Arts and Entertainment > Aquarium","中央区","tokyo_core_23_wards","35.67108","139.765843","http://artaquarium.jp","154","category_base:culture:48 | strong_travel_category:34 | cultural_significance:22 | entertainment_or_family_destination:18 | official_website:7 | high_category_specificity:9 | Tokyo_core:16","strong_travel_category | cultural_significance | official_website | high_category_specificity | Tokyo_core","","false","false","A"
"top_100_overall | top_30_food","6","da05df6c67694c98c10993ad","Tsukiji Fish Market","food","Landmarks and Outdoors > Historic and Protected Site | Retail > Food and Beverage Retail > Farmers Market","","broader_tokyo","35.66502","139.770595","http://www.tsukiji-market.or.jp","153","category_base:food:30 | strong_travel_category:34 | cultural_significance:22 | district_destination:28 | distinctive_food:13 | official_website:7 | high_category_specificity:9 | broader_Tokyo:10","strong_travel_category | cultural_significance | district_destination | distinctive_food | official_website | high_category_specificity | broader_Tokyo","","false","false","A"
"top_100_overall | top_30_free","7","4bde825dffdec92874e3e8a1","九品仏広場","free","Landmarks and Outdoors > Plaza | Landmarks and Outdoors > Park > Playground","Setagaya","tokyo_core_23_wards","35.60643597739914","139.6618241071701","https://www.city.setagaya.lg.jp/mokuji/kusei/012/015/001/004/d00018123.html","152","category_base:free:38 | strong_travel_category:34 | nature_or_scenic_destination:20 | district_destination:28 | official_website:7 | high_category_specificity:9 | Tokyo_core:16","strong_travel_category | district_destination | free_attraction | official_website | high_category_specificity | Tokyo_core","","false","false","A"
"top_100_overall | top_30_free","8","50790c96e4b0bf54e138f834","ふれあい動物広場","free","Arts and Entertainment > Zoo > Zoo Exhibit | Landmarks and Outdoors > Plaza","Katsushika","tokyo_core_23_wards","35.75792542973355","139.84087292673973","https://www.city.katsushika.lg.jp/institution/1000096/1006894.html","150","category_base:free:38 | strong_travel_category:34 | entertainment_or_family_destination:18 | district_destination:28 | official_website:7 | high_category_specificity:9 | Tokyo_core:16","strong_travel_category | district_destination | free_attraction | official_website | high_category_specificity | Tokyo_core","","false","false","A"
"top_100_overall | top_30_nature","9","50aea3d9e4b034c5d70d4a8a","野外展示場","nature","Landmarks and Outdoors > Sculpture Garden | Arts and Entertainment > Museum > Art Museum","目黒区","tokyo_core_23_wards","35.635973","139.702961","http://www.museum-of-sculpture.org","150","category_base:nature:42 | strong_travel_category:34 | cultural_significance:22 | nature_or_scenic_destination:20 | official_website:7 | high_category_specificity:9 | Tokyo_core:16","strong_travel_category | cultural_significance | official_website | high_category_specificity | Tokyo_core","","false","false","A"
"top_100_overall | top_30_adventure","10","5d4c14af2151900008d5f928","うんこミュージアムTOKYO","adventure","Arts and Entertainment > Amusement Park | Arts and Entertainment > Museum","江東区","tokyo_core_23_wards","35.625566","139.776315","https://unkomuseum.com","150","category_base:adventure:45 | strong_travel_category:34 | cultural_significance:22 | nature_or_scenic_destination:20 | entertainment_or_family_destination:18 | official_website:7 | low_category_specificity:-12 | Tokyo_core:16","strong_travel_category | cultural_significance | official_website | Tokyo_core","low_category_specificity","false","false","A"
