"display_rank","fsq_place_id","name","english_name","category","catalog_classification","eligibility","selection_stratum","wikidata_id","proposed_wikidata_id","japanese_wikipedia_title","english_wikipedia_title","match_confidence","coordinate_distance_m","coordinate_radius_m","coordinate_policy","queries_attempted","candidate_count","candidate_summary","short_description","image_available","image_license","attribution","prominence_signals","score_components","penalties","final_score","match_status"
"1259","4b80a4c6f964a520218330e3","都電おもいで広場","","culture","tokyo_core","medium_wikimedia_likelihood","ranked_prefix","","Q11618636","","","0.551","37.67553736005979","1200","park_or_large_complex_1200m","wikidata_ja:都電おもいで広場 | wikidata_alternate:都電おもいで広場 東京 | jawiki_search:都電おもいで広場 | nearby_wikidata:35.751114,139.75235,1200m","23","Q11618636:54:rejected:business_entity_type_incompatible | Q17191904:41:rejected:weak_name_evidence | Q11618624:39:rejected:weak_name_evidence+business_entity_type_incompatible | Q81917075:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11618626:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q55534764:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11627711:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q1064795:19:rejected:weak_name_evidence+museum_entity_type_incompatible | Q81917035:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q11116153:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q97311489:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11465112:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q97311491:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q106836829:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q845113:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q11514119:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11358409:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q97311494:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q910858:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q11427747:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q7814005:14:rejected:substring_only_name_evidence+museum_entity_type_incompatible | Q174782:14:rejected:substring_only_name_evidence+museum_entity_type_incompatible | Q81964131:12:rejected:weak_name_evidence+business_entity_type_incompatible","","false","","","","fsq_base_travel_score:37.62 | capped_objective_prominence:0 | category_significance:24 | geographic_relevance:10 | name_quality:6 | subordinate_or_minor_facility:-14","subordinate_or_minor_facility","63.6","rejected"
"1","5b3306103731ee002c2b3e78","チームラボプラネッツ (teamLab Planets)","teamLab Planets TOKYO DMM.com","culture","tokyo_core","high_wikimedia_likelihood","ranked_prefix","Q97613610","Q97613610","チームラボプラネッツ TOKYO DMM.com","TeamLab Planets TOKYO DMM.com","1","14.428625665467155","1200","park_or_large_complex_1200m","wikidata_ja:チームラボプラネッツ (teamLab Planets) | wikidata_alternate:チームラボプラネッツ | wikidata_alternate:teamLab Planets | wikidata_alternate:チームラボプラネッツ (teamLab Planets) 東京 | jawiki_search:チームラボプラネッツ (teamLab Planets) | enwiki_search:teamLab Planets | nearby_wikidata:35.64912152012237,139.78982716798782,1200m","25","Q97613610:103:accepted: | Q11295937:41:rejected:weak_name_evidence | Q766348:39:rejected:weak_name_evidence+business_entity_type_incompatible | Q1771711:32:rejected:weak_name_evidence | Q48750542:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q81916598:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q859054:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11514051:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q125586281:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q3536037:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q28068157:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q95950901:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11502565:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q11633915:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11514742:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11519401:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11528721:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11090205:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11513767:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11483041:18:rejected:weak_name_evidence+closed_or_destroyed_entity_incompatible | Q5366830:14:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q16144224:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q17085620:14:rejected:substring_only_name_evidence+business_entity_type_incompatible | Q11318607:14:rejected:substring_only_name_evidence+business_entity_type_incompatible | Q112008965:12:rejected:weak_name_evidence+business_entity_type_incompatible","art facility in Tokyo, Japan","false","","","verified_wikidata_entity | english_wikipedia_article | japanese_wikipedia_article | language_sitelinks | wikimedia_commons | wikidata_official_website | notable_entity_type","fsq_base_travel_score:37.62 | capped_objective_prominence:12.088090414263364 | category_significance:24 | geographic_relevance:10 | name_quality:9","","92.7","verified"
"2","4f7fb9e3121d4ea728735977","春花園BONSAI美術館","Shunkaen Bonsai Museum","culture","tokyo_core","high_wikimedia_likelihood","ranked_prefix","Q29570077","Q29570077","春花園BONSAI美術館","Shunkaen Bonsai Museum","1","16.013302412720204","1200","park_or_large_complex_1200m","wikidata_ja:春花園BONSAI美術館 | wikidata_alternate:春花園 美術館 | wikidata_alternate:BONSAI | wikidata_alternate:春花園BONSAI美術館 東京 | jawiki_search:春花園BONSAI美術館 | enwiki_search:BONSAI | nearby_wikidata:35.70255783631239,139.8883283145627,1200m","33","Q29570077:109:accepted: | Q17991646:32:rejected:weak_name_evidence+coordinates_too_far | Q11501605:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11551048:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11352360:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q81964329:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q97191495:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q20043132:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q29408057:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q106836961:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q81917525:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11551061:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11513761:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11633012:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q18339256:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11677317:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11502605:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11408002:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11435948:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11677200:18:rejected:weak_name_evidence+closed_or_destroyed_entity_incompatible | Q81917582:17:rejected:weak_name_evidence+business_entity_type_incompatible | Q64365:14:rejected:substring_only_name_evidence+non_place_entity_type_incompatible | Q10863798:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q528824:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q1172195:14:rejected:substring_only_name_evidence+museum_entity_type_incompatible | Q3007386:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q28154159:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q55605744:6:rejected:substring_only_name_evidence+non_place_entity_type_incompatible | Q2910354:6:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q124063679:0:rejected:substring_only_name_evidence+non_place_entity_type_incompatible | Q29817699:0:rejected:substring_only_name_evidence+museum_entity_type_incompatible | Q4035312:0:rejected:substring_only_name_evidence+museum_entity_type_incompatible | Q26492897:0:rejected:substring_only_name_evidence+non_place_entity_type_incompatible","Museum in Tokyo","true","Public domain","Abasaa — Public domain","verified_wikidata_entity | english_wikipedia_article | japanese_wikipedia_article | language_sitelinks | wikimedia_commons | wikidata_official_website | notable_entity_type","fsq_base_travel_score:37.62 | capped_objective_prominence:11.2 | category_significance:24 | geographic_relevance:10 | name_quality:9","","91.8","verified"
"199","5210636111d2ce6e671be072","樫尾俊雄発明記念館 / 成城四丁目 発明の杜","","culture","tokyo_core","high_wikimedia_likelihood","ranked_prefix","","Q20043920","","","0.418","317.20998809706396","1200","park_or_large_complex_1200m","wikidata_ja:樫尾俊雄発明記念館 / 成城四丁目 発明の杜 | wikidata_alternate:樫尾俊雄発明記念館 / 成城四丁目 発明 杜 | wikidata_alternate:樫尾俊雄発明記念館 / 成城四丁目 発明の杜 東京 | jawiki_search:樫尾俊雄発明記念館 / 成城四丁目 発明の杜 | nearby_wikidata:35.64397062912305,139.59024667739868,1200m","22","Q20043920:41:rejected:weak_name_evidence | Q131624697:32:rejected:substring_only_name_evidence | Q11251371:31:rejected:substring_only_name_evidence+museum_entity_type_incompatible | Q11495411:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q4222438:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11495402:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q4448389:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11420963:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q17214780:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11525372:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11525590:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q587503:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11389071:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q119006417:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11571406:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q81918131:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q28686263:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q65241064:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q119929550:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11495415:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q11587575:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q55228832:14:rejected:substring_only_name_evidence+museum_entity_type_incompatible","","false","","","","fsq_base_travel_score:37.62 | capped_objective_prominence:0 | category_significance:24 | geographic_relevance:10 | name_quality:6","","77.6","rejected"
"4","6271e9c477ad8c2b7a76b984","アートアクアリウム美術館 GINZA","Art Aquarium Museum","culture","tokyo_core","high_wikimedia_likelihood","ranked_prefix","Q116921556","Q116921556","アートアクアリウム","","1","33.603966060759404","1200","park_or_large_complex_1200m","wikidata_ja:アートアクアリウム美術館 GINZA | wikidata_alternate:アートアクアリウム美術館 | wikidata_alternate:アートアクアリウム美術館 GINZA 東京 | jawiki_search:アートアクアリウム美術館 GINZA | nearby_wikidata:35.67108,139.765843,1200m","24","Q116921556:104:accepted: | Q178065:32:rejected:weak_name_evidence+coordinates_too_far | Q10860697:32:rejected:weak_name_evidence | Q746052:31:rejected:substring_only_name_evidence+museum_entity_type_incompatible | Q63928990:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q602372:31:rejected:weak_name_evidence+business_entity_type_incompatible | Q24876207:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11499325:31:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q112334821:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q17228157:26:rejected:weak_name_evidence+business_entity_type_incompatible | Q17226316:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11354566:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11355422:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11307395:26:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q113635877:25:rejected:weak_name_evidence+business_entity_type_incompatible | Q30272133:20:rejected:weak_name_evidence+museum_entity_type_incompatible | Q111406715:20:rejected:weak_name_evidence+business_entity_type_incompatible | Q111406714:20:rejected:weak_name_evidence+business_entity_type_incompatible | Q111866130:20:rejected:weak_name_evidence+business_entity_type_incompatible | Q30274420:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q124788953:17:rejected:weak_name_evidence+business_entity_type_incompatible | Q27917493:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q113560483:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q135196633:12:rejected:weak_name_evidence+business_entity_type_incompatible","","true","CC BY 2.0","Raita Futo from Tokyo, Japan — CC BY 2.0","verified_wikidata_entity | japanese_wikipedia_article | language_sitelinks | wikimedia_commons | wikidata_official_website | notable_entity_type","fsq_base_travel_score:37.62 | capped_objective_prominence:8.743458750793272 | category_significance:24 | geographic_relevance:10 | name_quality:9","","89.4","verified"
"35","da05df6c67694c98c10993ad","Tsukiji Fish Market","","food","broader_tokyo","high_wikimedia_likelihood","ranked_prefix","","Q859471","","","0.551","411.38793138771416","800","historic_or_market_800m","wikidata_en:Tsukiji Fish Market | wikidata_alternate:Tsukiji Fish Market Tokyo | wikidata_alternate:Tsukiji Fish Market Historic and Protected Site | enwiki_search:Tsukiji Fish Market | nearby_wikidata:35.66502,139.770595,1200m","24","Q859471:54:rejected:closed_or_destroyed_entity_incompatible | Q117475236:44:rejected:weak_name_evidence | Q1201337:34:rejected:substring_only_name_evidence+market_entity_type_incompatible | Q1188480:32:rejected:substring_only_name_evidence | Q11633916:32:rejected:weak_name_evidence+coordinates_too_far | Q60987045:26:rejected:weak_name_evidence+business_entity_type_incompatible | Q95742868:26:rejected:weak_name_evidence+market_entity_type_incompatible | Q111866141:20:rejected:weak_name_evidence+business_entity_type_incompatible | Q135294847:20:rejected:weak_name_evidence+market_entity_type_incompatible | Q11501516:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q80703780:18:rejected:weak_name_evidence+market_entity_type_incompatible | Q3335477:18:rejected:weak_name_evidence+market_entity_type_incompatible | Q943255:18:rejected:weak_name_evidence+market_entity_type_incompatible | Q131457218:18:rejected:weak_name_evidence+market_entity_type_incompatible | Q11421209:18:rejected:weak_name_evidence+market_entity_type_incompatible | Q11374515:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q65273571:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q81916387:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q246180:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q86736912:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q3536037:14:rejected:weak_name_evidence+market_entity_type_incompatible+coordinates_too_far | Q135294839:12:rejected:weak_name_evidence+market_entity_type_incompatible | Q117461469:12:rejected:weak_name_evidence+business_entity_type_incompatible | Q30271999:12:rejected:weak_name_evidence+market_entity_type_incompatible","","false","","","","fsq_base_travel_score:34.96 | capped_objective_prominence:0 | category_significance:18 | geographic_relevance:8 | name_quality:6","","67","rejected"
"41","4bde825dffdec92874e3e8a1","九品仏広場","","free","reserve","medium_wikimedia_likelihood","ranked_prefix","","Q6442177","","","0.398","135.63675375420502","1200","park_or_large_complex_1200m","wikidata_ja:九品仏広場 | wikidata_alternate:九品仏広場 東京 | jawiki_search:九品仏広場 | nearby_wikidata:35.60643597739914,139.6618241071701,1200m","23","Q6442177:39:rejected:weak_name_evidence+business_entity_type_incompatible | Q150118:32:rejected:weak_name_evidence+coordinates_too_far | Q1187503:26:rejected:weak_name_evidence+park_entity_type_incompatible | Q11445947:23:rejected:weak_name_evidence+park_entity_type_incompatible | Q7116237:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11572583:23:rejected:weak_name_evidence+park_entity_type_incompatible | Q11597268:18:rejected:weak_name_evidence+park_entity_type_incompatible | Q11370077:18:rejected:substring_only_name_evidence+park_entity_type_incompatible | Q11572594:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q6406345:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q81916833:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q81964072:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q81964076:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q11362070:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q800972:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q28110728:18:rejected:weak_name_evidence+park_entity_type_incompatible | Q17226083:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q11576440:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q384995:14:rejected:weak_name_evidence+park_entity_type_incompatible | Q11572556:14:rejected:weak_name_evidence+park_entity_type_incompatible+coordinates_too_far | Q122687528:12:rejected:weak_name_evidence+park_entity_type_incompatible | Q108814642:12:rejected:weak_name_evidence+business_entity_type_incompatible | Q122687527:12:rejected:weak_name_evidence+park_entity_type_incompatible","","false","","","","fsq_base_travel_score:34.2 | capped_objective_prominence:0 | category_significance:18 | geographic_relevance:0 | name_quality:6 | subordinate_or_minor_facility:-14 | reserve_classification:-12","subordinate_or_minor_facility | reserve_classification","32.2","rejected"
"2947","50790c96e4b0bf54e138f834","ふれあい動物広場","","adventure","tokyo_core","medium_wikimedia_likelihood","ranked_prefix","","Q2587322","","","0.327","469587.14382866933","1200","park_or_large_complex_1200m","wikidata_ja:ふれあい動物広場 | wikidata_alternate:ふれあい動物広場 東京 | jawiki_search:ふれあい動物広場 | nearby_wikidata:35.75792542973355,139.84087292673973,1200m","25","Q2587322:32:rejected:weak_name_evidence+coordinates_too_far | Q3576063:32:rejected:weak_name_evidence+coordinates_too_far | Q11416862:32:rejected:weak_name_evidence+coordinates_too_far | Q11358533:31:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q11627166:23:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q11525612:23:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q11526424:23:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q48752366:23:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q106836858:23:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q81964287:23:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q11621071:23:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q106852603:23:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q11263370:23:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q11525634:18:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q97207303:18:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q106541952:18:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q11392712:18:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q35439010:17:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q81917421:17:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q11641183:14:rejected:weak_name_evidence+attraction_entity_type_incompatible+coordinates_too_far | Q11474596:14:rejected:weak_name_evidence+attraction_entity_type_incompatible+coordinates_too_far | Q113630426:12:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q81917466:12:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q81964295:12:rejected:weak_name_evidence+attraction_entity_type_incompatible | Q81964291:12:rejected:weak_name_evidence+attraction_entity_type_incompatible","","false","","","","fsq_base_travel_score:34.2 | capped_objective_prominence:0 | category_significance:12 | geographic_relevance:10 | name_quality:6 | subordinate_or_minor_facility:-14","subordinate_or_minor_facility","48.2","rejected"
"1","50aea3d9e4b034c5d70d4a8a","野外展示場","","culture","reserve","high_wikimedia_likelihood","ranked_prefix","","Q11279688","","","0.418","375.17333684971646","1200","park_or_large_complex_1200m","wikidata_ja:野外展示場 | wikidata_alternate:野外展示場 東京 | jawiki_search:野外展示場 | nearby_wikidata:35.635973,139.702961,1200m","25","Q11279688:41:rejected:weak_name_evidence | Q3815450:41:rejected:weak_name_evidence | Q11608719:32:rejected:weak_name_evidence+coordinates_too_far | Q11564689:32:rejected:weak_name_evidence+coordinates_too_far | Q11607744:32:rejected:weak_name_evidence+coordinates_too_far | Q11653241:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q97181847:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q97182441:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q122687423:25:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11581679:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q986230:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q3541556:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11366822:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q81916656:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11430726:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q3087698:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q25470397:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11606804:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q122687430:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q122687431:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q122687424:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q122687422:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q122687429:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11509581:14:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11414997:14:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far","","false","","","","fsq_base_travel_score:35.72 | capped_objective_prominence:0 | category_significance:24 | geographic_relevance:0 | name_quality:6 | reserve_classification:-12","reserve_classification","53.7","rejected"
"74","5d4c14af2151900008d5f928","うんこミュージアムTOKYO","","adventure","tokyo_core","high_wikimedia_likelihood","ranked_prefix","","Q11316944","","","0.398","96.97905393403137","1200","park_or_large_complex_1200m","wikidata_ja:うんこミュージアムTOKYO | wikidata_alternate:うんこミュージアム | wikidata_alternate:うんこミュージアムTOKYO 東京 | jawiki_search:うんこミュージアムTOKYO | nearby_wikidata:35.625566,139.776315,1200m","24","Q11316944:39:rejected:weak_name_evidence+museum_entity_type_incompatible | Q130711537:36:rejected:weak_name_evidence | Q11310533:36:rejected:weak_name_evidence | Q65234016:32:rejected:substring_only_name_evidence | Q80704016:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11308705:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q906738:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q6602400:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q126596503:20:rejected:weak_name_evidence+business_entity_type_incompatible | Q10954019:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11322149:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q76961476:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q17224919:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q5368628:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11240255:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q17224932:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q30934236:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11347767:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q77082644:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q5368568:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q496:14:rejected:substring_only_name_evidence+non_place_entity_type_incompatible | Q60452254:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q105352436:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q139250219:12:rejected:weak_name_evidence+museum_entity_type_incompatible","","false","","","","fsq_base_travel_score:36.1 | capped_objective_prominence:0 | category_significance:24 | geographic_relevance:10 | name_quality:9","","79.1","rejected"
